transformId;rotation;scale;position;dataPointGuid;taskId;participantId;sessionId;pointInTimeUtc
Sheep;(0.0, -0.8, 0.0, -0.6);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);4b15a387-3463-40e3-a943-79aadbc9883a;1;4;4;08.31.2021 19:03:39.874
Sheep;(0.0, -0.9, 0.0, -0.4);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);a3c206f6-106a-4283-a123-397a6b3c3120;1;4;4;08.31.2021 19:03:39.907
Sheep;(0.0, -0.9, 0.0, -0.3);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);51299c48-75a0-449c-a423-fe55967a2729;1;4;4;08.31.2021 19:03:39.940
Sheep;(0.0, -1.0, 0.0, -0.2);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);0456b31c-ac94-48bf-ba07-9a98c6a80e55;1;4;4;08.31.2021 19:03:39.973
Sheep;(0.0, -1.0, 0.0, 0.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);be7552d6-80be-4051-a88f-6cbd1ce5489f;1;4;4;08.31.2021 19:03:40.007
Sheep;(0.0, -1.0, 0.0, 0.1);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);50a0aece-b25f-49e2-b291-daa0e92a2d8b;1;4;4;08.31.2021 19:03:40.040
Sheep;(0.0, -1.0, 0.0, 0.2);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);5c132a7b-50f5-4d83-9c19-2b7b6f0a0984;1;4;4;08.31.2021 19:03:40.073
Sheep;(0.0, -0.9, 0.0, 0.4);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);29d9d303-d368-47f6-967c-e4687d15bb18;1;4;4;08.31.2021 19:03:40.107
Sheep;(0.0, -0.9, 0.0, 0.5);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);1ed5b870-7a60-4fe0-8ebc-45d88c5ddd81;1;4;4;08.31.2021 19:03:40.140
Sheep;(0.0, -0.8, 0.0, 0.6);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);cb0a98a3-c593-4c3a-bf7c-bf25342a1d71;1;4;4;08.31.2021 19:03:40.174
Sheep;(0.0, -0.7, 0.0, 0.7);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);9fe1e9b8-5924-4d1d-88f3-ec6b47758564;1;4;4;08.31.2021 19:03:40.206
Sheep;(0.0, -0.5, 0.0, 0.9);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);c254323d-2551-4636-8c05-c5c195a84ab7;1;4;4;08.31.2021 19:03:40.241
